x,sin(x)
1,0.841470985
3,0.141120008
5,-0.958924275
7,0.656986599
9,0.412118485
11,-0.999990207
13,0.420167037
15,0.65028784
17,-0.961397492
19,0.14987721
21,0.836655639
23,-0.846220404
25,-0.13235175
27,0.956375928
29,-0.663633884
31,-0.404037645
33,0.99991186
35,-0.428182669
37,-0.643538133
39,0.963795386
41,-0.158622669
43,-0.831774743
45,0.850903525
47,0.123573123
49,-0.953752653
51,0.670229176
53,0.39592515
55,-0.999755173
57,0.436164755
59,0.636738007
61,-0.96611777
63,0.1673557
65,0.826828679
67,-0.855519979
69,-0.114784814
71,0.951054653
73,-0.676771957
75,-0.387781635
77,0.999520159
79,-0.444112669
81,-0.629887994
83,0.968364461
85,-0.17607562
87,-0.821817837
89,0.860069406
91,0.105987512
93,-0.948282141
95,0.683261715
97,0.379607739
99,-0.999206834
101,0.452025787
103,0.622988631
105,-0.970535284
107,0.184781745
109,0.816742607
111,-0.864551449
113,-0.097181906
115,0.945435334
117,-0.689697941
119,-0.371404101
121,0.998815225
123,-0.459903491
125,-0.616040459
127,0.972630067
129,-0.193473392
131,-0.811603387
133,0.868965756
135,0.088368686
137,-0.942514455
139,0.696080131
141,0.363171365
143,-0.998345361
145,0.467745162
147,0.609044022
149,-0.974648648
151,0.202149881
153,0.806400581
155,-0.873311983
157,-0.079548543
159,0.939519732
161,-0.702407786
163,-0.354910176
165,0.997797279
167,-0.475550187
169,-0.601999868
171,0.976590868
173,-0.210810533
175,-0.801134595
177,0.877589788
179,0.070722167
181,-0.9364514
183,0.708680408
185,0.34662118
187,-0.997171023
189,0.483317954
191,0.594908548
193,-0.978456575
195,0.219454668
197,0.795805843
199,-0.881798836
201,-0.061890251
203,0.9333097
205,-0.714897508
207,-0.338305028
209,0.996466642
211,-0.491047854
213,-0.58777062
215,0.980245622
217,-0.228081609
219,-0.790414741
221,0.885938798
223,0.053053485
225,-0.930094878
227,0.721058597
229,0.32996237
231,-0.99568419
233,0.498739282
235,0.580586641
237,-0.98195787
239,0.236690681
241,0.784961713
243,-0.890009349
245,-0.044212563
247,0.926807186
249,-0.727163193
251,-0.32159386
253,0.994823729
255,-0.506391635
257,-0.573357175
259,0.983593184
261,-0.245281209
263,-0.779447185
265,0.89401017
267,0.035368177
269,-0.92344688
271,0.733210819
273,0.313200155
275,-0.993885326
277,0.514004314
279,0.566082788
281,-0.985151436
283,0.25385252
285,0.77387159
287,-0.897940948
289,-0.02652102
291,0.920014225
293,-0.739200999
295,-0.304781911
297,0.992869055
299,-0.521576722
301,-0.55876405
303,0.986632505
305,-0.262403942
307,-0.768235364
309,0.901801375
311,0.017671785
313,-0.91650949
315,0.745133265
317,0.296339788
319,-0.991774996
321,0.529108265
323,0.551401534
325,-0.988036273
327,0.270934805
329,0.762538949
331,-0.905591148
333,-0.008821166
335,0.912932949
337,-0.751007151
339,-0.287874449
341,0.990603233
343,-0.536598355
345,-0.543995817
347,0.989362632
349,-0.279444442
351,-0.756782791
353,0.909309971
355,-3.01E-05
357,-0.909284882
359,0.756822199
361,0.279386554
363,-0.98935386
365,0.544046404
367,0.53654748
369,-0.990611477
371,0.287932185
373,0.750967342
375,-0.912957552
377,0.008881452
379,0.905565575
381,-0.762577951
383,-0.270876771
385,0.988026974
387,-0.551451828
389,-0.529057106
391,0.99178271
393,-0.296397369
395,-0.745093056
397,0.916533605
399,-0.017732065
401,-0.90177532
403,0.768273958
405,0.262345765
407,-0.986622678
409,0.558814048
411,0.521525282
413,-0.99287624
415,0.304839331
417,0.739160394
419,-0.92003785
421,0.026581288
423,0.897914412
425,-0.773909772
427,-0.253794206
429,0.985141084
431,-0.566132486
433,-0.513952598
435,0.993891981
437,-0.31325741
439,-0.733169821
441,0.923470013
443,-0.035428428
445,-0.893983156
447,0.779484953
449,0.245222762
451,-0.983582306
453,0.573406569
455,0.506339647
457,-0.994829853
459,0.321650946
461,0.727121806
463,-0.926829824
465,0.044272793
467,0.889981859
469,-0.784999063
471,-0.236632105
473,0.981946467
475,-0.580635727
477,-0.498687026
479,0.995689783
481,-0.330019281
483,-0.721016823
485,0.930117022
487,-0.053113689
489,-0.885910834
491,0.790451671
493,0.228022909
495,-0.980233696
497,0.587819394
499,0.490995334
501,-0.996471704
503,0.338361761
505,0.714855351
507,-0.933331346
509,0.061950424
511,0.881770401
513,-0.795842349
515,-0.219395849
517,0.978444126
519,-0.594957007
521,-0.483265173
523,0.997175553
525,-0.346677731
527,-0.708637871
529,0.936472548
531,-0.070782305
533,-0.877560883
535,0.801170676
537,0.210751599
539,-0.976577898
541,0.602048007
543,0.475497151
545,-0.997801277
547,0.354966539
549,0.702364872
551,-0.939540379
553,0.07960864
555,0.873282611
557,-0.806436232
559,-0.202090837
561,0.974635157
563,-0.609091838
565,-0.467691874
567,0.998348826
569,-0.363227537
571,-0.696036845
573,0.942534599
575,-0.088428739
577,-0.868935919
579,0.811638607
581,0.193414242
583,-0.972616057
585,0.616087948
587,0.459849955
589,-0.998818157
591,0.371460077
593,0.689654285
595,-0.945454975
597,0.097241909
599,0.864521149
601,-0.816777392
603,-0.184722494
605,0.970520755
607,-0.62303579
609,-0.451972009
611,0.999209233
613,-0.379663514
615,-0.683217692
617,0.948301277
619,-0.106047461
621,-0.860038646
623,0.821852185
625,0.176016273
627,-0.968349415
629,0.629934819
631,0.444058651
633,-0.999522024
635,0.387837206
637,0.676727572
639,-0.951073282
641,0.114844704
643,0.855488762
645,-0.826862588
647,-0.167296262
649,0.966102208
651,-0.636784493
653,-0.436110503
655,0.999756506
657,-0.395980512
659,-0.670184431
661,0.953770773
663,-0.123632949
665,-0.850871852
667,0.831808208
669,0.158563143
671,-0.963779309
673,0.643584278
675,0.428128186
677,-0.999912659
679,0.404092793
681,0.663588784
683,-0.956393539
685,0.132411508
687,0.846188279
689,-0.836688659
691,-0.149817602
693,0.961380901
695,-0.65033364
697,-0.420112327
699,0.999990472
701,-0.412173415
703,-0.656941146
705,0.958941375
707,-0.141179693
709,-0.841438409
711,0.841503557
713,0.141060322
715,-0.958907171
717,0.657032049
719,0.412063554
721,-0.999989938
723,0.420221745
725,0.650242038
727,-0.961414079
729,0.149936817
731,0.836622615
733,-0.846252526
735,-0.132291992
737,0.956358314
739,-0.663678982
741,-0.403982496
743,0.999911058
745,-0.428237151
747,-0.643491986
749,0.96381146
751,-0.158682194
753,-0.831741274
755,0.850935194
757,0.123513296
759,-0.953734529
761,0.670273918
763,0.395869787
765,-0.999753838
767,0.436219006
769,0.636691519
771,-0.966133329
773,0.167415138
775,0.826794768
777,-0.855551193
779,-0.114724923
781,0.951036021
783,-0.67681634
785,-0.387726064
787,0.999518289
789,-0.444166685
791,-0.629841168
793,0.968379504
795,-0.176134966
797,-0.821783486
799,0.860100162
801,0.105927562
803,-0.948263002
805,0.683305735
807,0.379551962
809,-0.999204432
811,0.452079564
813,0.622941471
815,-0.970549809
817,0.184840995
819,0.816707818
821,-0.864581745
823,-0.097121902
825,0.94541569
827,-0.689741595
829,-0.371348124
831,0.998812289
833,-0.459957024
835,-0.615992968
837,0.972644074
839,-0.193532541
841,-0.811568164
843,0.86899559
845,0.088308633
847,-0.942494306
849,0.696123415
851,0.363115192
853,-0.998341892
855,0.467798448
857,0.608996204
859,-0.974662135
861,0.202208925
863,0.806364926
865,-0.873341352
867,-0.079488445
869,0.939499081
871,-0.702450696
873,-0.354853811
875,0.997793278
877,-0.475603221
879,-0.601951726
881,0.976603835
883,-0.210869466
885,-0.801098512
887,0.877618689
889,0.070662029
891,-0.936430249
893,0.708722942
895,0.346564628
897,-0.99716649
899,0.483370732
901,0.594860088
903,-0.97846902
905,0.219513487
907,0.795769334
909,-0.881827268
911,-0.061830077
913,0.93328805
915,-0.714939662
917,-0.338248293
919,0.996461576
921,-0.491100372
923,-0.587721844
925,0.980257544
927,-0.228140309
929,-0.790377809
931,0.885966758
933,0.052993281
935,-0.930072731
937,0.721100368
939,0.329905457
941,-0.995678593
943,0.498791536
945,0.580537553
947,-0.981969269
949,0.236749256
951,0.78492436
953,-0.890036835
955,-0.044152333
957,0.926784543
959,-0.727204578
961,-0.321536774
963,0.994817601
965,-0.506443621
967,-0.573307779
969,0.983604058
971,-0.245339656
973,-0.779409415
975,0.894037181
977,0.035307926
979,-0.923423744
981,0.733251814
983,0.313142899
985,-0.993878667
987,0.514056028
989,0.566033088
991,-0.985161785
993,0.253910833
995,0.773833405
997,-0.89796748
999,-0.026460753
